crawlProgress,crawlProgressWithSpread,crawlSuccessProgress,day0,day1,day2,day3,day4,day5,domainDealerId,domainDealerLogo,domainDealerName,storeCount,storeCountWithSpread,storeFailedCount,storeInDeltaCount,storeToCrawl,successCount
100,,100,"{'domainDealerId': 40, 'successCount': 4, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 40, 'successCount': 4, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 40, 'successCount': 4, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 40, 'successCount': 4, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 40, 'successCount': 4, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 40, 'successCount': 4, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",40,logo-amazon.png,Amazon,4,,0,0,0,4
100,,100,"{'domainDealerId': 43, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 43, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 43, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 43, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 43, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 43, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",43,logo-greenweez.png,Greenweez,1,,0,0,0,1
100,,100,"{'domainDealerId': 50, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 50, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 50, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 50, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 50, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 50, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",50,logo-loreal-paris.png,L'Oreal Paris,1,,0,0,0,1
100,,100,"{'domainDealerId': 53, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 53, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 53, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 53, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 53, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 53, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",53,logo-action.png,Action,1,,0,0,0,1
100,,100,"{'domainDealerId': 72, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 72, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 72, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 72, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 72, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 72, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",72,logo-lafourche.png,Lafourche,1,,0,0,0,1
100,,100,"{'domainDealerId': 74, 'successCount': 205, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 74, 'successCount': 205, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 74, 'successCount': 205, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 74, 'successCount': 205, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 74, 'successCount': 205, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 74, 'successCount': 205, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",74,logo-ubereats.png,Uber Eats,205,,0,0,0,205
100,,100,"{'domainDealerId': 75, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 75, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 75, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 75, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 75, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 75, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",75,logo-labellevie.png,La Belle Vie,1,,0,0,0,1
100,,100,"{'domainDealerId': 77, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 77, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 77, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 77, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 77, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 77, 'successCount': 1, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",77,logo_picnic.png,Picnic,1,,0,0,0,1
100,,100,"{'domainDealerId': 81, 'successCount': 29, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 81, 'successCount': 29, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 81, 'successCount': 29, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 81, 'successCount': 29, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 81, 'successCount': 29, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 81, 'successCount': 29, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",81,logo_eau-vive.png,Eau-vive,29,,0,0,0,29
36,,36,"{'domainDealerId': 82, 'successCount': 12, 'failedCount': 0, 'successPercent': 100, 'progress': '36.36'}","{'domainDealerId': 82, 'successCount': 33, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 82, 'successCount': 33, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 82, 'successCount': 33, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 82, 'successCount': 33, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 82, 'successCount': 33, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",82,logo_satoriz.png,Satoriz,33,,0,0,21,12
